mixture_domain,quality_domain,Q17
arxiv,arxiv,0.7094894002981443
freelaw,commoncrawl,0.6061136105391851
nih_exporter,commoncrawl,0.6061136105391851
pubmed_central,arxiv,0.7094894002981443
wikipedia_en,wikipedia,0.5956867175934197
dm_mathematics,arxiv,0.7094894002981443
github,github,0.4784535320008694
philpapers,arxiv,0.7094894002981443
stackexchange,stackexchange,0.6028669215424124
enron_emails,commoncrawl,0.6061136105391851
gutenberg_pg_19,book,0.4994921312324439
pile_cc,commoncrawl,0.6061136105391851
ubuntu_irc,commoncrawl,0.6061136105391851
europarl,commoncrawl,0.6061136105391851
hackernews,commoncrawl,0.6061136105391851
pubmed_abstracts,arxiv,0.7094894002981443
uspto_backgrounds,commoncrawl,0.6061136105391851
